,PIDANH4 rpt 1.sp,PIDANH4 rpt 2.sp,PIDANH4 rpt 3.sp,PIDANH4 rpt 4.sp,PIDANH4 rpt 5.sp,PIDANH4 rpt 6.sp,PIDANH4 rpt 7.sp,PIDANH4 rpt 8.sp,PIDANH4 rpt 9.sp,PIDANH4 rpt 10.sp,PIDANH4 rpt 11.sp,PIDANH4 rpt 12.sp,PIDANH4 rpt 13.sp,PIDANH4 rpt 14.sp,PIDANH4 rpt 15.sp,PIDANH4 rpt 16.sp,PIDANH4 rpt 17.sp,PIDANH4 rpt 18.sp,PIDANH4 rpt 19.sp,PIDANH4 rpt 20.sp,PIDANH4 rpt 21.sp,PIDANH4 rpt 22.sp,PIDANH4 rpt 23.sp,PIDANH4 rpt 24.sp,PIDANH4 rpt 25.sp,PIDANH4 rpt 26.sp,PIDANH4 rpt 27.sp,PIDANH4 rpt 28.sp,PIDANH4 rpt 29.sp,PIDANH4 rpt 30.sp,PIDANH4 rpt 31.sp,PIDANH4 rpt 32.sp,PIDANH4 rpt 33.sp,PIDANH4 rpt 34.sp,PIDANH4 rpt 35.sp,PIDANH4 rpt 36.sp,PIDANH4 rpt 37.sp,PIDANH4 rpt 38.sp,PIDANH4 rpt 39.sp,PIDANH4 rpt 40.sp,PIDANH4 rpt 41.sp,PIDANH4 rpt 42.sp,PIDANH4 rpt 43.sp,PIDANH4 rpt 44.sp,PIDANH4 rpt 45.sp,PIDANH4 rpt 46.sp,PIDANH4 rpt 47.sp,PIDANH4 rpt 48.sp,PIDANH4 rpt 49.sp,PIDANH4 rpt 50.sp,PIDANH4 rpt 51.sp,PIDANH4 rpt 52.sp,PIDANH4 rpt 53.sp,PIDANH4 rpt 54.sp,PIDANH4 rpt 55.sp
Time,15:01:19,15:01:26,15:01:33,15:01:40,15:01:47,15:01:54,15:02:01,15:02:08,15:02:15,15:02:22,15:02:29,15:02:36,15:02:43,15:02:50,15:02:57,15:03:04,15:03:11,15:03:18,15:03:25,15:03:33,15:03:40,15:03:47,15:03:54,15:04:01,15:04:08,15:04:15,15:04:22,15:04:29,15:04:36,15:04:43,15:04:50,15:04:57,15:05:04,15:05:12,15:05:19,15:05:26,15:05:33,15:05:40,15:05:48,15:05:55,15:06:02,15:06:09,15:06:16,15:06:23,15:06:30,15:06:37,15:06:44,15:06:52,15:06:59,15:07:06,15:07:13,15:07:20,15:07:28,15:07:35,15:07:42
Raman shift [1/cm],Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity
1406,799.12287,786.83,807.22,790.66,791.59,789.75,773.73,756.5,757.73,756.05,715.97,706.74,664.19,637.06,594.92,578.18,487.77,429.21,380.57,351.35,342.06,304.24,281.48,270.61,273.17,245.02,238.34,227.98,234.33,224.65,229.58,236.06,226.13,233.1,236.99,230.2,247.28,239.82,157.16,138.96,288.44,434.13,533.69,592.41,628.41,655,689.12,714.71,706.3,705.55,728.72,677.74,669.84,693.16,667.87
1404,794.73873,786.78,787.94,779.71,793.8,775.65,766.01,762.14,751.34,742.07,703.86,705.83,661.45,638.62,596.96,566.51,489.81,429.39,379.86,350.67,329.84,304.18,281.56,270.9,269.46,240.7,238.89,228.68,230.28,216.87,225.87,227.42,223.32,228.8,240.97,230.9,246.32,238.75,154.02,134.95,284.61,429.82,534,585.12,619.87,642.97,691.72,704.12,708.1,697.58,732.35,666.66,668.97,681.32,669.55
1402,790.21059,775.47,779.81,764.6,794.61,763.01,765.26,765.41,754.2,744.23,696.22,697.04,657.99,640.88,599.33,558.95,490.4,423.4,379.57,348.84,325.62,300.84,280.33,270.29,265.59,240.56,240.56,230.33,223.03,215.67,229.67,224.18,225.12,224.46,244.4,229.61,251.56,233.17,154.31,131.99,283.97,428.23,532.95,576.49,611.96,642.18,694.51,700.44,701.76,687.3,733.58,664.22,666.44,674.92,666.14
1400,776.66605,758.21,760.85,746.92,793.32,755.32,758.43,764.93,764.54,741.51,689.48,693.05,643.56,646.52,590.28,552.74,485.48,417.22,376.51,345.65,318.2,300.19,278.7,261.31,259.18,235,236.64,236.3,220.98,221.64,229.1,218.77,221.14,215.72,240.74,223.15,253.65,228.29,152.66,120.91,281.89,419.49,528.93,575.79,602.45,644.87,690.62,699.09,689.01,685.49,729.87,660.73,666.74,660.77,660.23
1398,775.7354,749.53,741.83,734.56,782.63,740.83,753.74,767.05,766.33,730.65,680.36,688.11,641.19,633.65,591.25,542.85,474.91,408.35,370.08,338.5,308.75,295.12,276.4,256.62,246.69,229.28,238.68,232.7,224.65,223.16,226.2,217.19,218.92,216.81,236.95,223.08,250.21,223.39,148.38,112.23,274.6,406.7,518.43,570.27,595.68,644.72,686.39,703.89,685.28,682.87,721.99,663.04,669.32,650.52,662.32
1396,773.15347,743.56,733.12,725.6,771.32,740.29,738.33,764.64,756.81,725.31,681.15,682.42,644.1,633.08,584.03,535.81,470.18,402.47,360.04,337.47,309.44,288.43,270.33,251.38,242.32,227.04,237.89,233.44,221.19,216.7,221.41,217.7,213.09,218.74,226.97,216.98,245.69,223.86,142.24,108,269.89,399.77,510.86,569.68,595.86,641.89,687.76,698.99,674.4,682.22,715.49,674.53,664.59,643.65,664.37
1394,767.80722,745.44,738.92,718.92,768.29,741.37,734.6,760.7,756.72,724.38,671.4,677.8,646.36,640.84,572.6,531.51,464.42,395.13,356.74,341.14,306.57,288.93,268.76,248.87,233.82,225.14,237.26,232.44,226.72,218.68,218.06,218.59,211.24,220.62,225.68,217.82,239.8,228.66,139.24,103.18,267.1,397.01,506.62,573.43,590.42,634.87,689.48,699.22,671.12,688.35,714.82,679.18,656.07,646.08,671.16
1392,763.07034,745.57,745.86,723.35,770.82,745.95,735.43,758.65,762.19,730.68,668.62,677.77,649.84,648.08,563.46,530.52,469.09,401.6,358.91,336.54,310.94,285.18,269.89,249.75,235.75,224.28,236.51,229.81,224.21,221.88,219.86,221.41,211.73,221.78,224.3,216.76,230.29,228.88,137.94,99.365,265.93,389.16,507.42,572.07,592.16,636.59,694.52,702.79,669.74,693.64,703.75,678.02,653.34,645.21,675.47
1390,758.0173,750.25,762.94,738.73,763.32,766.26,746.54,755.01,764.17,745.02,673.85,693.13,654.01,654.49,578.38,534.45,476.96,406.35,364.98,341.87,316.25,284.89,273.96,255.87,245.52,223.55,240.47,231.66,228.04,224.68,216.68,223.77,219.1,221.87,225.65,220.3,228.96,227.69,136.05,100.4,272.92,388.98,509.97,573.92,608.55,649.98,700.78,709.35,672.62,695.71,700.36,681.06,663.92,655.31,672.84
1388,778.60174,772.91,787.24,759.99,784.63,792.98,771.55,762.84,778.65,769.65,692.26,716.4,667.15,672.48,594.86,555.51,491.85,421.81,386.25,352.34,328.57,299.45,280.22,267.82,256.09,228.26,240.74,235.54,237.19,233.41,227.95,223.59,232.38,222.5,235.18,224.83,235.19,229.73,135.8,100.74,285.13,403.98,516.81,587.17,620.25,671.19,716.73,727.1,691.11,715.94,718.69,690.61,680.41,685.31,685.6
