,PIDANH4 rpt 1.sp,PIDANH4 rpt 2.sp,PIDANH4 rpt 3.sp,PIDANH4 rpt 4.sp,PIDANH4 rpt 5.sp,PIDANH4 rpt 6.sp,PIDANH4 rpt 7.sp,PIDANH4 rpt 8.sp,PIDANH4 rpt 9.sp,PIDANH4 rpt 10.sp,PIDANH4 rpt 11.sp,PIDANH4 rpt 12.sp,PIDANH4 rpt 13.sp,PIDANH4 rpt 14.sp,PIDANH4 rpt 15.sp,PIDANH4 rpt 16.sp,PIDANH4 rpt 17.sp,PIDANH4 rpt 18.sp,PIDANH4 rpt 19.sp,PIDANH4 rpt 20.sp,PIDANH4 rpt 21.sp,PIDANH4 rpt 22.sp,PIDANH4 rpt 23.sp,PIDANH4 rpt 24.sp,PIDANH4 rpt 25.sp,PIDANH4 rpt 26.sp,PIDANH4 rpt 27.sp,PIDANH4 rpt 28.sp,PIDANH4 rpt 29.sp,PIDANH4 rpt 30.sp,PIDANH4 rpt 31.sp,PIDANH4 rpt 32.sp,PIDANH4 rpt 33.sp,PIDANH4 rpt 34.sp,PIDANH4 rpt 35.sp,PIDANH4 rpt 36.sp,PIDANH4 rpt 37.sp,PIDANH4 rpt 38.sp,PIDANH4 rpt 39.sp,PIDANH4 rpt 40.sp,PIDANH4 rpt 41.sp,PIDANH4 rpt 42.sp,PIDANH4 rpt 43.sp,PIDANH4 rpt 44.sp,PIDANH4 rpt 45.sp,PIDANH4 rpt 46.sp,PIDANH4 rpt 47.sp,PIDANH4 rpt 48.sp,PIDANH4 rpt 49.sp,PIDANH4 rpt 50.sp,PIDANH4 rpt 51.sp,PIDANH4 rpt 52.sp,PIDANH4 rpt 53.sp,PIDANH4 rpt 54.sp,PIDANH4 rpt 55.sp
Time,15:01:19,15:01:26,15:01:33,15:01:40,15:01:47,15:01:54,15:02:01,15:02:08,15:02:15,15:02:22,15:02:29,15:02:36,15:02:43,15:02:50,15:02:57,15:03:04,15:03:11,15:03:18,15:03:25,15:03:33,15:03:40,15:03:47,15:03:54,15:04:01,15:04:08,15:04:15,15:04:22,15:04:29,15:04:36,15:04:43,15:04:50,15:04:57,15:05:04,15:05:12,15:05:19,15:05:26,15:05:33,15:05:40,15:05:48,15:05:55,15:06:02,15:06:09,15:06:16,15:06:23,15:06:30,15:06:37,15:06:44,15:06:52,15:06:59,15:07:06,15:07:13,15:07:20,15:07:28,15:07:35,15:07:42
Raman shift [1/cm],Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity
3278,945.18622,1071.3,844.31,1121.8,925.89,1003.4,702.35,804.34,759.07,956.84,661.39,716.4,750.8,735.04,669.55,429.06,431.11,590.82,407.08,329.11,461.78,358.57,361.2,374.46,319.44,358.55,310.09,283.47,218.53,267.95,278.42,266.3,258.87,340.81,333.22,223.94,225.67,269.73,212.78,145.13,282.89,374.29,557.63,628.83,596.41,602.99,1024.2,674.78,784.94,834.76,932.93,963.4,798.82,837.12,834.63
3276,889.97346,1087.9,839.6,1075.7,910.18,970.41,751.45,805.66,758.87,980.18,691.98,685.99,793.88,712.2,723.85,440.47,468.29,588.84,404.62,360.29,462.19,347.97,351.38,388.34,347,352.72,319.45,299.8,262.07,248.46,291.3,262.33,277.08,352.07,335.89,273.92,190.08,285.34,218.62,166.9,301.67,394.77,560.42,605.67,576,659.85,1016.9,659.25,794.09,885.44,929.8,952.91,761.22,875.03,803.56
3274,951.2157,1122.3,952.24,1008.7,955.53,1031.1,859.94,866.04,823.06,957.76,774.18,810.46,862.12,818.42,770.57,520.38,494.49,660.32,471.54,418.94,526.3,391.22,406.82,457.12,425.5,393.03,355.81,401.69,378.01,357.51,338.94,337.25,351.03,428.5,383.37,371.24,226.11,346.68,269.22,253.08,378.66,424.93,629.79,681.68,637.65,723.07,1050.8,765.55,815.2,951.16,1026.1,998.66,812.5,919.84,796.39
3272,960.91831,1028.7,951.42,846.69,903.75,911.8,909.85,824.52,765.14,897.84,807.34,859.41,855.79,788.22,756.02,524.72,454.69,597.97,450.27,361.27,490.21,391.13,402.37,453.76,420.45,349.7,314.84,402.8,379.55,315.4,323.51,306.89,341.93,452.96,381.38,358.11,192.23,361.09,227.89,268.8,339.26,417.65,609.39,661.22,591.98,705.97,927.17,813.33,781.51,848.1,920.8,981.34,813.97,891.3,742.31
3270,969.94063,932.14,938.46,797.03,897.08,882.99,989.37,796.4,769.41,819.51,852.26,844.78,836.42,788.24,773.76,582.18,463.75,583.57,441.69,395.55,474.99,422.27,419.47,416.89,383.82,336.2,280.53,409.31,380.63,366.33,349.71,307.75,348.09,492.69,337.68,363.52,181.44,376.6,213.48,276.77,342.96,418.5,559.26,699.95,582.28,685.53,829.21,788.3,795.31,781.56,929.97,938.52,844.9,899.08,718.25
3268,966.76009,880.79,975.71,733.93,929.27,846.31,1053,820.15,771.59,790.43,866.52,821.72,803.68,802.71,762.3,609.92,486.59,528.37,442.44,397.47,494.92,445.06,447.94,434.17,359,379.59,290.88,402.24,392.83,347.96,348.36,345.29,341.43,481.57,305.06,365.6,158.44,372.46,238.26,270.71,313.8,384.32,542.93,682.58,571.93,728.37,764.99,761.03,723.87,712.78,890.02,841.58,807.47,840.59,718.22
3266,1008.6353,829.21,1020.2,705.63,890.88,831.19,1056,880.65,809.06,817.08,926.23,876.16,812.3,803.37,804.01,696.63,521.58,553.07,436.87,439.81,506.29,438.07,447.19,455.35,349.1,379.71,356.98,414.44,385.54,374.68,372.41,362.95,352.84,469.53,332.27,366.6,144.64,381.13,262.54,273.36,347.28,431.79,560.7,672.23,618.35,738.87,752.56,806.7,761.37,668,848.88,832.55,841.98,862.66,761.84
3264,1023.0273,863.59,1109.8,748.08,905.18,852.93,1059.4,901.93,831.69,803.07,935.57,873.67,833.87,765.86,826.83,704.34,587.04,550.65,454.27,485.11,521.19,456.96,462.69,452.42,354.95,431.17,413.93,371.3,380.53,362.43,361.61,410.82,390.86,471.96,319.11,375.74,172.47,404.98,310.28,274.25,381.49,433.93,607.21,650.15,659.9,771.67,749.69,824.98,779.44,661.29,875.64,777.7,785.92,874.29,774.62
3262,1000.1867,851.21,1107,911.11,963.98,917.87,1033.6,903.87,836.48,824.39,958.97,830.05,807.53,737.98,831.54,690.41,616.02,566.87,488.6,531.08,524.32,458.38,508.49,401.86,363.73,461.53,438.71,336.08,336.22,379.25,372.83,415.12,367.83,433.27,309.44,367.07,222.42,407.04,341.77,256.97,393.34,471.75,625.21,714.53,728.22,764.71,802.34,805.93,809.1,685.48,927.35,767.92,740.07,866.64,824.54
3260,948.38246,818.44,1023.4,954.44,942.3,867.37,939.55,813.05,792.71,824.11,973.06,774.52,769.34,677.52,819.31,676.8,597.87,511.73,462.73,477.01,474.8,418.18,502.03,355.59,319.37,426.78,405.42,283.71,276.18,302.6,330.28,362.14,334.39,379.77,289.27,333.65,238.58,356.7,272.92,193.11,370,458.24,585.8,684.21,762.18,751.69,781.96,778.08,792.66,638.49,840.87,748.84,701.16,797.26,854.99
3258,984.00525,877.71,1038.6,1017.7,906.58,878.62,956.24,828.25,830.12,823.48,989.88,757.18,748.87,724.8,827.39,727.66,591.79,476.75,493.96,460.31,482.33,425.61,510.29,398.06,318.63,415.97,394.78,294.55,284.13,339.01,317.74,362.46,337.49,392.32,274.4,360.65,285.28,337.28,261.71,202.93,358.2,484.68,609.87,778.19,808.56,666.17,834.14,838.23,800.11,669.11,830.72,795.13,730.55,812.36,821.83
3256,940.51732,918.69,975.98,998.07,848.57,831.13,935.52,775.1,762.08,846.48,958.52,686.56,744.96,725.72,834.03,729.96,580.72,464.21,537.85,470.77,481.33,418.63,488.92,385.32,353.47,388.53,366.07,352.18,308.43,312.92,344.1,304.15,350.03,390.86,266.69,382.73,285.71,310.92,230.38,203.07,371.89,504.17,614.27,764.61,835.54,668.72,883.71,806.46,795.55,746.89,846.11,865.81,715.39,829.31,830.23
3254,899.92672,884,938.97,977.08,844.13,826.16,910.11,701.17,784.98,848.76,893.59,699.53,719.04,754.06,717.29,695.42,515.9,519.24,559.61,445.2,507.34,421.67,498.43,350.35,418.35,338.52,346.61,393.31,287.79,325.74,369.13,250.83,351.7,408.82,299.41,406.71,278.45,304.55,185.35,206.22,376.66,472.81,608.67,783.38,836.61,712.93,924.32,784.86,777,793.54,860.44,956.57,799.02,855.31,851.62
3252,814.02016,825.12,867.17,934.07,807.74,711.27,928.58,649.4,739.77,795.65,793.45,617.46,641.55,680.79,628.41,646.06,482.42,457.47,510.14,356.75,427.92,350.88,458.42,282.62,406.62,287.45,289.69,352.48,194.39,266.56,331.58,163.62,298.77,407.2,278.77,364.83,259.85,266.15,140.25,153.43,319.93,403.79,567.6,755.77,771.86,670.8,853.89,719.22,772.29,736.38,758.56,924.41,847.83,864.35,782.66
3250,808.15195,817.58,881.55,928.01,774.6,694.6,902.18,676.49,787.57,759.73,732.31,570.24,628.17,691.58,641.81,622.49,488.9,477.14,500.03,353.43,413.82,342.02,410.03,292.59,389.14,287.96,261.97,380.14,224.75,283.41,338.57,186.4,306.85,409.35,281.96,348.11,262.09,253.07,157.12,151.61,321.95,374.13,582.68,717.14,750.03,689.13,800.15,667.34,768.14,756.25,749.65,912.31,871.24,890.27,797.51
3248,793.42973,768.15,888.07,866.48,729.03,643.48,866.3,677.99,796.63,758.9,680.57,541.73,600.23,667.31,637,585.68,437.58,448.53,499.9,317.26,388.76,294.01,405.37,308.33,367.6,270.67,235.89,391.31,207.21,243.88,316.84,184.27,280.14,340.26,290.13,303.49,194.66,207.09,148.97,133.86,267.11,349.9,598,611.72,688.66,720.92,766.13,643.6,683.62,660.92,661.75,865.81,854.86,786.28,793.34
3246,827.30614,738.55,869.49,829.08,752.13,693.96,842.93,742.27,841.19,725.78,650.84,578.1,596.48,629.02,636.08,601.92,469.89,496.65,513.14,315.4,375.44,274.59,393.87,303.48,363.5,286.06,254.52,362.54,215.56,267.09,323.81,246.35,311.3,347.37,334.21,294.42,151.33,233.25,200.73,150.22,277.2,380.41,596.53,568.2,611.19,678.52,769.23,577.6,729.89,618.21,691.75,824.85,871.15,796.6,789.08
3244,871.21767,828.59,903.52,846.77,805.2,764.47,864.39,782.35,877.09,704.97,681.98,615.08,671.05,621.3,669.32,605.29,534.94,497.7,503.02,328.22,347.76,303.4,414.09,316.17,352.45,333.87,293.63,366.19,226,270.92,346.97,300.74,342.6,363.81,326.51,294.56,164.48,241.61,247.45,183.08,276.5,440.01,662.8,547.85,587.9,695.65,790.38,620.06,786.47,591.53,769.95,804.87,838.19,800.48,800.97
3242,853.06348,824.52,885.8,898.66,824.36,784.51,840.74,807.18,886.43,672.06,704.42,636.14,718.73,624.94,683.19,588.4,527.41,483.25,510.4,332.73,348,319.97,441.41,346.69,339.35,314.59,321.69,356.44,230.04,253.97,352.45,294.84,343.35,347.48,321.17,263.59,168.91,241.19,294.19,190.86,246.45,470.19,658.88,521.85,528.44,677.96,778.14,662.97,743.1,607.51,777.83,731.76,783.33,745.75,798.13
3240,835.79945,779.43,790.96,895.14,784.06,800.15,770.8,827.63,895.6,627.95,758.72,641.06,730.58,621.17,652.11,552.82,524.21,463.57,467.73,308.56,276.9,292.74,418.86,351.26,324.52,325.49,313.83,313.71,251.55,246,343.35,326.61,352.72,334.4,309.64,275.86,168.44,209.54,299.11,208.6,246.36,459.22,632.05,434.44,542.91,673.14,705.97,666.36,692.65,572.83,720.55,635.73,733.82,704.41,729.88
3238,849.44937,789.17,741.79,903.69,698.13,767.52,732.82,818.16,887.15,642.11,764.45,604.54,712.95,633.49,627.52,542.59,502.69,414.17,416.53,329.17,290.48,297.82,437.81,423.78,323.1,346.15,312.08,267.97,276.37,260.45,343.64,340.34,326.22,341.86,258.89,260.04,181.24,194.73,287.61,237.97,219.77,459.22,567.21,481.7,525.77,608.01,656.87,652.61,614.23,619.95,717.55,634.9,677.34,709.95,658.47
3236,801.57092,727.57,652.11,815.98,619.64,726.34,617.27,759.41,761.64,632.15,732.93,581.53,670.12,648.95,563.24,499.72,468.5,421.94,374.05,312.97,327.71,292.36,416.64,383.73,334.27,334.36,309.22,248.32,284.24,253.86,374.06,266.55,281.39,333.77,242.49,255.19,183.75,170.48,272.69,224.14,190.16,414.34,531.99,479.9,453.1,604.66,537.23,636,565.34,666.91,689.77,642.18,648.19,695.3,626.64
3234,753.71003,678.79,644.84,791.01,609.59,695.56,590.49,750.3,759.71,658.22,700.94,530.72,675.93,670.81,489.97,520.45,502.88,460.95,331.21,315.09,385.17,280.29,422.47,392.3,332.86,311.67,314.31,244.64,266.79,310.96,390.12,245.14,262.17,349.42,248.85,346.57,185.49,206.9,230.12,239.78,236.92,396.71,461.76,510.11,435.9,650.73,538.32,597.61,530.97,700.74,684.65,658.57,685.21,703.35,613.08
3232,717.31398,679.43,619.93,693.97,560.96,630.25,565.99,689.39,657.07,671.13,716.22,444.24,609.99,623.7,491.57,491.31,530.87,373.13,274.26,292.09,352.05,212.68,365.43,381.25,275.08,275.33,262.86,215.07,289.61,316.07,342.82,197.54,166.94,347.8,213.05,355.65,192.89,214.87,235.07,192.38,227.04,345.36,405.4,573.91,412.05,549.5,519.44,578.03,464.61,645.54,654.22,576.45,680.94,678.39,589.22
3230,725.69171,643.04,683.05,701.05,512.78,602.19,494.84,624.85,597.8,688.15,732.61,445.81,585.17,648.08,517.8,495.76,514.41,413.12,279.94,339.37,347.08,196.18,293.85,386.04,252.51,268.85,240.29,256.59,324.55,328.14,292.91,220.93,161.16,309.27,253.26,359.16,223.66,240.93,252.45,218.62,227.88,349.91,414.32,591.35,409.2,573.96,451.45,565.72,436.02,637.02,637.52,596.19,618.65,659.55,605.68
3228,701.33024,564.34,664.03,687.07,481.33,529.77,447.48,474.85,533.33,642.16,694.45,404.15,519.53,566.44,539.3,435.45,442.96,357.66,221.92,316.22,264.97,169.23,229.05,314.6,213.01,208.18,173.96,225.97,267.62,309.25,239.8,177.07,132.31,230.83,246.75,357.22,163.88,198.71,221.57,157.85,218.91,358.29,371.93,581.09,367.48,509.55,404.89,531.05,359.68,527.76,580.06,550.76,554.54,590.8,531.04
3226,673.0241,501.78,642.96,669.02,505.2,523.85,447.84,406.12,495.98,611.74,622.66,411.45,450.61,476.87,448.25,418.94,414.06,322.53,196.61,283.8,219.7,167.63,168.94,219.14,138.21,199.17,110.98,193.08,258.69,289.44,167.74,178.91,131.28,202.92,243.98,302.02,173.56,165.29,225.1,98.331,156.85,370.56,331.21,538.62,352.54,433.68,404.62,430.86,378.75,456.52,575.47,507.86,507.26,551.12,519
3224,654.38153,554.55,670.58,686.57,556.2,510.17,502.48,367.38,490.54,607.94,565.67,407.35,414.36,468.36,458.23,454.19,407.43,277.66,234.3,285.44,219.92,220.39,176.56,182.85,117.2,167.67,119.79,217.16,196.51,297.09,160.14,131,146.82,186.95,217.57,314.46,181.49,135.33,272.19,71.265,170.62,401.59,338.15,536.36,324.14,435.22,469.74,424.38,412.65,498.4,561.66,502.21,467.4,568.69,528.41
3222,578.86426,528.9,633.09,688.41,559.65,499.62,485.53,323.92,475.96,611.83,494.48,398.22,390.23,455.51,452.49,407.98,406.64,236.1,302.22,309.68,216.22,217.34,187.99,141.67,141.47,96.334,136.31,199.96,174.94,284.6,132.35,77.486,174.31,184.99,197.58,261.13,164.08,134.97,320.17,58.504,143.64,396.28,299.47,496.21,286.43,382.17,454.73,385.27,374.55,548.28,521.22,514.45,417.57,536,502.15
3220,496.32944,501.39,526.22,696.56,569.83,473.79,407.93,314.26,448.49,562.11,479.61,413.99,349.99,413.39,413.94,302,363.19,247.38,300.42,280.47,158.23,155.33,171.49,82.011,159.33,79.394,167.93,198.66,165.77,283.49,118.92,98.317,182.89,161.86,178.08,218.85,172.61,93.598,309.63,34.481,95.889,339.28,252.5,471.5,321.7,365.65,418.55,348.93,359.37,544.4,470.3,504.2,368.72,490.11,418.51
3218,439.7392,504.35,514.3,727.7,582.96,457.77,460.72,360.22,465.46,559.08,472.71,451.42,387.04,401.21,409.69,326.44,361.27,297.03,304.09,308.88,236.95,132.11,249.01,172.5,229.71,87.877,240.37,203.65,162.37,314.74,138.46,120.25,225.52,256.93,175.19,232.25,200.69,101.78,364.59,81.578,108.93,324.62,273.25,539.06,331.78,387.24,460.86,367.87,406.66,572.3,445.11,569.91,374.75,515.87,384.68
3216,400.95792,500.24,461.34,708.97,544.75,476.79,461.46,394.01,477.1,533.24,521.3,503.8,468.68,366.24,385.01,292.59,386,374.81,293.11,295.67,329.84,142.81,272.21,165.84,268.35,121.5,279.32,212.19,181.13,359.76,157.18,120.08,227.55,348.55,215.03,263.7,229.25,143.38,363.42,95.588,136.94,302.4,298.92,566.16,287.61,465.65,419.84,421.28,470.43,550.81,442.45,611.02,446.72,558.76,413.33
3214,452.68367,497.55,475.46,670.5,544.94,460.84,547.88,448.92,481.4,490.46,570.57,447.15,503.53,377.45,435.96,355.61,417.15,396.95,291.99,301.71,392.65,153.95,299.48,220.46,264.07,182.99,315.25,254.85,203.14,429.63,210.96,146.52,262,415.49,240.41,305.89,224.34,159.87,322.02,135.41,213.61,336.55,275.97,539.68,308.01,483.88,452.05,417.6,492.55,502.75,442.41,655.01,485.42,536.41,492.86
3212,413.71316,436.94,416.65,531.24,504.28,397.72,537.38,374.42,435.71,470.31,602.42,432.8,440.32,279.81,467.44,353.29,364.62,339.7,221.37,268.78,353.8,108.94,231.61,218.95,232.11,146.21,271.36,193.47,163.27,383.31,161.87,98.733,215.83,430.98,203.11,269.19,190.53,118.42,276.06,91.832,196.74,337.44,230.95,525.35,219.46,398.16,374.67,406.45,427.49,392.55,386.55,544.31,461.25,505.27,511.86
3210,395.51734,442.1,400.05,578.1,445.24,356.37,543.67,335.67,419.04,465.52,623.46,395.4,437.76,306.94,479.89,360.58,337.42,375.98,208.24,259.68,323.58,90.937,199.96,213.53,207.09,168.07,263.85,225.09,137.08,334.29,129.12,87.23,184.63,379.51,250.86,267.36,218.18,116.63,201.32,74.492,203.69,362.92,231.24,476.12,185.17,416.24,301.25,414.24,405.95,351.62,377.01,504.46,414.73,455.16,483.1
3208,387.25376,434.85,355.84,576.57,423.23,352.14,513.72,304.37,400.7,398.48,621.61,348.4,417.9,284.8,501.88,317.2,325.36,330.37,154.63,233.48,269.36,113.48,188.96,232.09,182.19,192.86,217.4,189.17,148.66,279.56,120.72,105.94,154.74,346.51,248.21,300.94,172.88,72.025,166.1,35.901,204.84,349.44,244.66,434.14,181,362.86,297.02,417.1,401.34,223.06,373.77,431.18,361.65,447.73,427.45
3206,372.94748,454.48,389.24,542.4,367.27,319.13,476.84,242.83,379.29,373.69,600.51,357.82,367.21,272.16,536.24,341.25,290.23,319.91,201.13,201.99,253.91,151.25,213,204.87,125.35,172.28,179.34,145.18,110.76,214.67,103.38,122.52,149.94,303.54,243.63,241.12,148.21,44.098,116.5,13.16,148.02,334.78,229.12,317.4,191.36,384.7,277.76,395.05,414.4,206.29,376.73,365.29,318.78,439.41,411.55
3204,358.99234,488.59,393.91,516.62,348.98,321.4,422.56,217.22,377.88,430.43,535.18,319.74,339.55,282.93,536.67,371.08,265.15,328.38,296.01,179.26,234.12,199.89,257,199.87,157.29,159.45,194.7,138.44,94.117,198.11,138.39,185.67,123.04,289.59,237.21,267.49,144.01,88.498,196.63,51.731,205.59,340.52,262.38,310.13,156.69,433.61,291.37,377.24,421.99,294.53,402.3,362.14,239.67,418.5,395.31
3202,322.81973,529.41,398.68,484.92,363.66,320.03,291.59,223.24,403.01,519.58,526.98,371.18,316.89,289.69,526.14,358.45,307.94,327.6,357.7,187.81,211.35,201.79,285.7,234.51,169.58,104.3,217.13,111.03,109.25,173.7,184.55,250.14,105.52,242.48,238.09,225.67,146.37,150.09,225.08,105.99,197.32,320.58,251.42,275.3,205.83,386.26,326.95,369.77,345.78,360.99,376.76,410.29,176.43,406.07,354.96
3200,299.37412,496.61,431.28,486.26,397.02,314.38,215.47,226.14,383.89,520.94,516.51,407.13,290.14,317.86,443.25,352.97,297.32,354.14,358.39,155.88,200.35,184.93,324.31,240.73,201.32,99.915,259,182.11,140.62,179.18,189.72,324.37,151.03,214.42,261.24,211.8,188.45,220.13,275.61,142.46,146.39,249.55,228.08,293.2,266.61,383.1,368.44,378.22,342.12,390.88,409.81,396.99,162.54,369.9,301.52
3198,287.06903,464.07,462.31,475.78,354.19,351.26,247.49,288.42,365.52,588.31,485.49,419.97,390.81,367.78,427.59,359.72,360,354.34,338.11,185.31,243.24,210.07,377.62,305.83,254.17,141.73,302.78,242.07,162.77,221.3,223.11,312.12,207.71,250.15,269.85,270.02,227.32,255.36,359.81,224.77,177.3,255.18,273.97,345.11,333.82,386.69,462.53,395.96,358.8,417.02,413.93,420.39,182.57,379.11,299.6
3196,258.21468,440.21,463.28,443.46,308.95,325.95,236.35,276.35,338.94,515,489.56,389.04,425.11,344.24,412.87,290.91,352.22,341.03,271.63,234.37,241.09,218.66,385.45,252.04,254.64,176.76,285.2,241.99,176.87,228.01,245.51,301.9,239.44,261.67,271.38,228.09,222.87,267.96,337.08,214,160.62,253.07,253.13,353.57,308.69,404.84,443.19,394.98,351.57,383.03,387.97,467.59,212.32,345.37,354.01
3194,356.60993,420.55,523.36,395.38,301.6,305.75,286.84,324.16,316.96,455.07,448.85,311.18,396.14,364.45,361.04,256.4,343.11,298.51,225.68,256.91,248.66,229.07,398.09,243.97,263.87,240.18,318.42,280.17,202.79,273.71,267.05,294.25,246.85,255.16,276.91,238.33,220.52,225.95,334.54,230.45,192.35,285.56,218.14,315.6,323.04,369.7,393.5,350.57,320.92,381.38,371.44,496.48,244.09,322.75,389.95
3192,322.31737,329.75,502.21,347.14,349.28,242.87,304.54,302.22,241.05,463.62,362.93,268.89,334.4,269.68,362.21,240.47,362.69,291.87,167.94,238,268.04,194.45,343.54,225.88,274.26,233.54,235.8,231.33,177.5,277.02,197.18,260.59,273.4,266.29,233.23,203.62,187.08,186.71,305.01,180.82,214.49,288.75,190.88,269.36,314.96,356.49,336.78,297.27,235.61,343.79,310.18,376.69,284.81,347.12,432.21
3190,339.48717,335.23,482.08,375.1,322.77,214.61,382.2,391.9,240.26,493.1,310.7,173.82,339.84,250.97,334.46,241.52,352.55,282.21,187.98,240.99,241.28,178.66,302.53,196.82,274.59,265.42,215.54,238.99,254.94,262.63,170.68,222.28,236.96,258.45,244.89,219.86,193.26,125,248.75,140.39,201.03,255.58,233.18,238.17,343.31,358.46,380.71,272.22,229.76,317.96,273.13,331.29,354.69,381.56,409.25
3188,354.89503,319.44,467.7,408.27,330.33,248.25,348.37,441.03,209.53,393.18,256.09,159.25,337.08,229.1,347.19,268.01,349.78,249.4,201.98,252.84,276.49,144.28,256.83,207.12,255.17,256.23,185.79,218.79,300.8,279.1,166.34,218.99,233.11,268.65,231.06,255.2,159.93,52.713,236.38,96.788,183.28,220.97,253.72,247.73,332.25,377.14,418.34,221.25,290.86,229.11,265.34,323.76,374.14,443.46,414.34
3186,329.51431,271.5,392.8,392.97,272.25,131.79,295.21,330.9,187.55,293.41,205.05,126.53,262.66,175.84,355.05,225.67,289.25,277.63,195.77,257.42,236.94,131.08,218.15,134.95,177.06,221.86,166.14,156.12,256.03,238.44,173.31,175.34,185.22,283.21,201.18,222.45,98.553,-2.5369,165.74,36.465,122.81,163.17,214.04,209.56,278.55,375.94,335.15,127.03,312.89,231.17,215.94,242.81,369.93,468.67,388.3
3184,323.05363,228.23,310.85,418.6,221.27,103.66,242.57,282.72,174.58,219.62,131.43,118.86,258.06,153.69,264.48,202.46,233.09,280.68,220.69,236.38,195.94,121.5,173.02,142.62,138.3,231.71,128.43,141.14,230.46,225.39,144.82,210.3,153.41,290.22,154.38,208.68,115.28,7.3678,148.15,36.057,129.64,134.91,200.49,200.15,209.93,330.03,304.14,49.912,259.92,186.49,164.25,159.58,255.14,431.27,335.07
3182,246.3756,201.16,233.06,393.12,203.16,110.14,178.8,265.89,152.7,203,40.973,111.87,161.11,113.71,203.79,188.35,175.54,186.55,243.58,211.14,141.06,114.29,128.87,139.02,62.059,165.58,65.762,84.07,135.82,174.82,117.74,203.39,119.14,226.6,138.81,192.74,88.982,7.3187,85.901,39.755,74.878,69.004,147.41,166.37,178.63,212.3,282.4,21.365,149.84,184.92,93.036,54.332,227.55,383.62,278.71
3180,193.52234,156.04,186.6,385.54,192.4,132.98,166.35,203.87,117.1,207.86,-8.7718,117.6,91.48,123.87,123.75,139.46,112.01,150.92,214.38,114.7,83.359,122.16,123.83,133.95,74.596,133.45,23.105,95.359,101.86,161.17,88.195,133.36,115.62,222.39,138.81,184.12,80.07,27.215,62.801,12.955,27.049,8.914,78.622,187.86,200.76,153.71,208.6,63.214,179.1,183.09,73.519,2.8914,214.87,291.44,214.05
3178,124.55057,154.18,161.73,306.68,119.26,135.6,176.74,163.51,92.278,244.48,-8.3892,76.727,84.057,132.79,115.58,75.679,103.59,104.07,178.19,75.72,81.128,158.05,127.86,155.95,40.948,98.088,6.7272,81.771,76.493,153.26,87.157,65.374,98.112,205.55,114.46,176.01,55.261,7.4512,32.795,10.607,17.533,23.739,98.702,192.2,187.88,88.952,191.15,52.644,176.8,137.78,77.8,-36.255,173.61,198.43,144.48
3176,64.992426,185.07,156.42,227.03,121.89,119.23,159.45,97.927,110.88,191.06,77.893,23.21,96.118,93.44,80.492,21.898,89.094,53.231,167.15,83.483,43.712,177.6,158.92,136.27,39.483,38.566,0.95274,68.264,92.471,108.86,93.973,71.906,89.626,162.38,125.24,106.91,22.786,19.863,-8.5021,-13.686,21.154,34.954,97.713,195.96,115.58,69.352,179.51,129.47,186.82,95.417,113.12,23.47,143.97,100.31,123.79
3174,174.70466,227.2,218.81,236.33,140.72,203.71,208.51,164.04,173.41,279.47,176.45,39.503,150.25,106.79,8.6352,25.564,160.18,100.32,174.32,66.73,78.423,244.27,226.31,184.61,103.07,67.585,74.744,107.76,121.23,146.71,129.74,101.78,96.964,195.09,172.53,121.43,90.802,125.05,10.119,49.076,126.11,119.49,137.98,193.5,173.68,134.68,183.84,189.29,256.3,129.23,218.83,109.05,214.06,101.95,149.19
3172,159.51605,230.37,222.05,219.85,253.59,201.65,250.66,188.38,202.24,339.05,242.68,51.091,120.37,111.45,47.903,74.779,237.88,122.22,152.91,51.954,152.31,254.27,257.28,204.17,155.6,56.591,14.998,88.457,135.59,191.34,188.48,102.57,168.41,210.23,186.77,75.53,44.067,202.37,32.791,67.539,149.46,145.36,148.8,188.34,157.4,169.59,133.43,223.33,276.6,153.34,214.59,136.84,250.96,181.8,166.44
3170,200.13071,248.21,259.24,206.07,242.36,189.85,278.32,261.29,256.78,395.13,311.65,40.588,175.79,111.07,-10.357,161.46,223.15,102.74,151.02,68.863,136.48,268.16,239.82,173.82,182.39,39.922,52.508,91.706,203.42,219.63,216.35,104.59,162.2,206.07,204.23,119.5,67,216.7,75.889,73.641,119.84,182.24,183.11,174.19,159.82,193.32,159.55,217.89,330.2,252.13,212.59,210.88,261.5,263.95,158.25
